# kf	n	Kin	HF_tot	Scnd_tot	Trd_tot	Fth_tot	total
0.904594	0.05	10.1806	-11.11359	-6.894907000000001	-0.5345099999999999	-0.05494999999999983	-8.417357
0.961274	0.06	11.4964	-12.67275	-7.7814700000000006	-0.4273600000000001	0.1142000000000003	-9.270980000000002
1.01196	0.07	12.7407	-14.064790000000002	-8.640093	-0.36945999999999996	0.24931000000000036	-10.084333
1.05802	0.08	13.9269	-15.298329999999998	-9.483206000000001	-0.3574399999999999	0.3677199999999998	-10.844356
1.10038	0.09	15.0645	-16.380319999999998	-10.317796000000001	-0.38406000000000007	0.44087999999999994	-11.576795999999998
1.13972	0.1	16.1607	-17.31683	-11.149052	-0.44436	0.51207	-12.237472
1.17651	0.11	17.2209	-18.11281	-11.979538999999999	-0.5286299999999999	0.5512600000000001	-12.848818999999999
1.21113	0.12	18.2494	-18.7728	-12.810112	-0.6320600000000001	0.5951500000000003	-13.370421999999998
1.24388	0.13	19.2496	-19.300939999999997	-13.643603	-0.7483599999999999	0.6134299999999997	-13.829872999999997
1.27499	0.14	20.2246	-19.70095	-14.477212999999999	-0.8733399999999998	0.6440600000000005	-14.182842999999998
1.30465	0.15	21.1765	-19.9762	-15.315496000000001	-0.99779	0.6485699999999999	-14.464416
1.33302	0.16	22.1075	-20.1301	-16.155416000000002	-1.1211600000000002	0.6579199999999998	-14.641255999999998
1.36023	0.17	23.0193	-20.1654	-16.998775	-1.23962	0.6539900000000003	-14.730504999999999
1.3864	0.18	23.9134	-20.085	-17.844255	-1.34735	0.6604299999999994	-14.702775000000003
1.41161	0.19	24.7911	-19.891799999999996	-18.695482	-1.4457299999999997	0.6668299999999996	-14.575081999999995
1.43595	0.2	25.6535	-19.5883	-19.547710000000002	-1.52551	0.67238	-14.335640000000001
1.4595	0.21	26.5017	-19.177100000000003	-20.40795	-1.5915099999999995	0.6758100000000007	-13.999050000000002
1.48231	0.22	27.33645	-18.66059	-21.27603	-1.64822	0.6485599999999994	-13.599829999999999
1.50443	0.23	28.15867	-18.0412	-22.14844	-1.6753699999999996	0.6445800000000008	-13.061759999999998
1.52593	0.24	28.96906	-17.32123	-23.028530000000003	-1.67718	0.6447000000000003	-12.413180000000004
1.54683	0.25	29.76827	-16.502959999999998	-23.91812	-1.6624400000000006	0.6494499999999999	-11.665799999999996
1.56719	0.26	30.55689	-15.588629999999998	-24.82023	-1.6208700000000005	0.6523999999999996	-10.820439999999998
1.58703	0.27	31.33547	-14.580419999999997	-25.733919999999998	-1.5634299999999999	0.6590600000000002	-9.883239999999994
1.60639	0.28	32.10448	-13.480490000000003	-26.665059999999997	-1.4794300000000002	0.6694099999999996	-8.85109
1.62529	0.29	32.8644	-12.290999999999997	-27.613370000000003	-1.3581799999999997	0.6721699999999995	-7.725979999999996
1.64376	0.3	33.61562	-11.014009999999999	-28.583689999999997	-1.2156499999999997	0.6843199999999996	-6.513409999999997
1.66182	0.31	34.35855	-9.65166	-29.57918	-1.0512700000000001	0.6934699999999991	-5.230090000000001
1.6795	0.32	35.09352	-8.206000000000003	-30.601480000000002	-1.63091	0.7030199999999995	-4.641850000000008
1.69682	0.33	35.82088	-6.679079999999999	-31.65802	-0.6281100000000004	0.7307899999999998	-2.4135399999999976
1.71379	0.34	36.54093	-5.072920000000003	-32.75287	-0.3726000000000007	0.7530099999999997	-0.9044500000000029
