# kf	n	Kin	HF_tot	Scnd_tot	Trd_tot	Fth_tot	total
0.904594	0.05	10.1806	-11.26598	-6.7720422	-0.57734	0.02790999999999988	-8.4068522
0.96127	0.06	11.49638	-12.875409999999999	-7.58693	-0.4896600000000001	0.23631000000000002	-9.21931
1.01196	0.07	12.7407	-14.317599999999999	-8.359561000000001	-0.46501	0.38851000000000013	-10.012960999999999
1.05802	0.08	13.92687	-15.599649999999999	-9.10248	-0.5029200000000001	0.49678999999999984	-10.781389999999998
1.10038	0.09	15.0645	-16.727130000000002	-9.824530000000001	-0.59493	0.5853199999999998	-11.496770000000003
1.13972	0.1	16.16071	-17.70488	-10.53086	-0.7356799999999999	0.6099500000000002	-12.200759999999999
1.17651	0.11	17.22088	-18.53699	-11.225610000000001	-0.9181299999999999	0.6590299999999998	-12.80082
1.21113	0.12	18.24937	-19.2272	-11.90862	-1.1303800000000002	0.6557200000000003	-13.361110000000002
1.24388	0.13	19.24964	-19.778909999999996	-12.58285	-1.3674	0.6608799999999997	-13.818639999999998
1.27499	0.14	20.22456	-20.19527	-13.249100000000002	-1.62621	0.6564199999999998	-14.189600000000002
1.30465	0.15	21.17651	-20.479300000000002	-13.90785	-1.89212	0.6356299999999999	-14.467130000000001
1.33302	0.16	22.10753	-20.633879999999998	-14.559149999999999	-2.16996	0.5991900000000003	-14.656269999999996
1.36023	0.17	23.01934	-20.661790000000003	-15.202569999999998	-2.44672	0.5755299999999999	-14.71621
1.3864	0.18	23.91344	-20.56579	-15.84019	-2.7159500000000003	0.5577000000000003	-14.650789999999997
1.41161	0.19	24.79111	-20.34856	-16.47424	-2.9885099999999998	0.5165899999999997	-14.503610000000002
1.43595	0.2	25.65352	-20.012829999999997	-17.10134	-3.25152	0.4832099999999997	-14.228959999999997
1.4595	0.21	26.50167	-19.561249999999998	-17.72537	-3.50093	0.45872000000000046	-13.82716
1.48231	0.22	27.33645	-18.996489999999998	-18.34807	-3.73731	0.3992599999999995	-13.34616
1.50443	0.23	28.15867	-18.32131	-18.97147	-3.9750400000000004	0.36636000000000024	-12.74279
1.52593	0.24	28.96906	-17.53843	-19.598390000000002	-4.18715	0.33567000000000036	-12.019240000000003
1.54683	0.25	29.76827	-16.650550000000003	-20.23152	-4.41228	0.3026300000000002	-11.22345
1.56719	0.26	30.55689	-15.660509999999999	-20.87198	-4.59756	0.26860000000000017	-10.304559999999999
1.58703	0.27	31.33547	-14.57105	-21.52384	-4.79134	0.22414999999999896	-9.326609999999999
1.60639	0.28	32.10448	-13.385089999999998	-22.19175	-4.982150000000001	0.18651000000000062	-8.267999999999995
1.62529	0.29	32.8644	-12.10541	-22.88026	-5.14487	0.15625	-7.109889999999996
1.64376	0.3	33.61562	-10.734920000000002	-23.59191	-5.355919999999999	0.10751	-5.959620000000001
1.66182	0.31	34.35855	-9.276589999999999	-24.34105	-6.54682	0.06471999999999989	-5.741189999999998
1.6795	0.32	35.09352	-7.733289999999997	-25.12944	-7.315080000000001	0.017330000000000734	-5.066959999999998
1.69682	0.33	35.82088	-6.108040000000003	-25.96799	-7.10388	-0.033889999999999976	-3.3929200000000006
1.71379	0.34	36.54093	-4.403739999999999	-26.8607	-6.09955	-0.10542000000000007	-0.9284799999999973
