# kf	n	Kin	HF_NN	Scnd_NN	Trd_NN_tot	Fth_tot	total
0.90459	0.05	10.18061	-12.14083	-6.3991	-0.7899200000000001	-0.05362	-9.202860000000001
0.96127	0.06	11.49638	-14.17271	-7.00991	-0.65735	0.11648999999999976	-10.2271
1.01196	0.07	12.74067	-16.12802	-7.54019	-0.5434100000000001	0.2584900000000001	-11.21246
1.05802	0.08	13.92687	-18.01517	-8.0098	-0.4480100000000001	0.3690899999999999	-12.177020000000002
1.10038	0.09	15.06452	-19.84075	-8.43107	-0.37213999999999997	0.43867999999999974	-13.14076
1.13972	0.1	16.16071	-21.61014	-8.81394	-0.31209	0.5133700000000001	-14.06209
1.17651	0.11	17.22088	-23.32781	-9.1662	-0.26513999999999993	0.5544700000000002	-14.983799999999999
1.21113	0.12	18.24937	-24.99758	-9.49361	-0.22903	0.5922799999999997	-15.878570000000003
1.24388	0.13	19.24964	-26.62279	-9.79963	-0.20183	0.6107300000000002	-16.76388
1.27499	0.14	20.22456	-28.20634	-10.09182	-0.18288000000000001	0.6391800000000001	-17.6173
1.30465	0.15	21.17651	-29.75082	-10.37023	-0.16806	0.6612699999999996	-18.451330000000002
1.33302	0.16	22.10753	-31.25856	-10.63881	-0.16107000000000002	0.6549399999999999	-19.295969999999997
1.36023	0.17	23.01934	-32.73165	-10.90034	-0.15830999999999998	0.6527699999999999	-20.118190000000002
1.3864	0.18	23.91344	-34.17199	-11.15633	-0.15882000000000002	0.6805700000000008	-20.89313
1.41161	0.19	24.79111	-35.58132	-11.40828	-0.1617	0.6679999999999997	-21.69219
1.43595	0.2	25.65352	-36.96122	-11.65994	-0.16652000000000006	0.6809800000000008	-22.453179999999993
1.4595	0.21	26.50167	-38.31314	-11.91207	-0.17600000000000005	0.6618999999999997	-23.237639999999995
